,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length
0,[7],658,Pump Up the Volume (1990),"https://m.media-amazon.com/images/M/MV5BNzY2OTkzNzUyNl5BMl5BanBnXkFtZTgwNTY1NTk4NjE@._V1_QL75_UY281_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNzY2OTkzNzUyNl5BMl5BanBnXkFtZTgwNTY1NTk4NjE@._V1_QL75_UY422_CR0,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNzY2OTkzNzUyNl5BMl5BanBnXkFtZTgwNTY1NTk4NjE@._V1_QL75_UY562_CR1,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0100436/?ref_=fn_al_tt_1,Mark runs a pirate radio station and causes an uproar when he speaks his mind and enthralls fellow teens.,7.2,28K,['Allan Moyle'],['Allan Moyle'],"['Christian Slater', 'Samantha Mathis', 'Anthony Lucero', 'Andy Romano', 'Keith Stuart Thayer', 'Cheryl Pollak', 'Jeff Chamberlain', 'Billy Morrissette', 'Lala Sloatman', 'Holly Sampson', 'Annie Ross', 'Annie Rusoff', 'Jonathan Mazer', 'Alexander Enberg', 'Ahmet Zappa', 'Seth Green', 'Mimi Kennedy', 'Scott Paulin']",R,1990,1h 42min
1,[ 7 18],1423,"Walking Dead, The (1995)","https://m.media-amazon.com/images/M/MV5BZmE4ZDU4M2MtZWVkNC00N2U5LWFjMzQtMjI1MTU5Nzg4ZDg0XkEyXkFqcGdeQXVyNjcwNDI1Nzk@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BZmE4ZDU4M2MtZWVkNC00N2U5LWFjMzQtMjI1MTU5Nzg4ZDg0XkEyXkFqcGdeQXVyNjcwNDI1Nzk@._V1_QL75_UX285_CR0,2,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BZmE4ZDU4M2MtZWVkNC00N2U5LWFjMzQtMjI1MTU5Nzg4ZDg0XkEyXkFqcGdeQXVyNjcwNDI1Nzk@._V1_QL75_UX380_CR0,2,380,562_.jpg 380w",http://www.imdb.com/title/tt7221066/?ref_=fn_al_tt_1,A woman and her daughter struggle to cross Europe in a desperate attempt to survive the undead apocalypse.,4.8,34,"['Stephen Lancaster', 'Dick Miller', 'Alisha Parker']","['', '', '']","['Stephen Lancaster', 'Dick Miller', 'Alisha Parker']",,TV Series,2018–
2,[ 7 15],7,Twelve Monkeys (1995),"https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX285_CR0,2,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0,2,380,562_.jpg 380w",http://www.imdb.com/title/tt0114746/?ref_=fn_al_tt_1,"In a future world devastated by disease, a convict is sent back in time to gather information about the man-made virus that wiped out most of the human population on the planet.",8.0,597K,['Terry Gilliam'],"['Chris Marker', 'David Webb Peoples', 'Janet Peoples']","['Bruce Willis', 'Madeleine Stowe', 'Brad Pitt', 'Joseph Melito', 'Jon Seda', 'Michael Chance', 'Vernon Campbell', 'H. Michael Walls', 'Bob Adrian', 'Simon Jones', 'Carol Florence', 'Bill Raymond', 'Ernest Abuba', 'Irma St. Paule', 'Joey Perillo', 'Bruce Kirkpatrick', 'Wilfred Williams', 'Rozwill Young']",R,1995,2h 9min
3,[ 2  3 12],588,Beauty and the Beast (1991),"https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMzE5MDM1NDktY2I0OC00YWI5LTk2NzUtYjczNDczOWQxYjM0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0,1,380,562_.jpg 380w",http://www.imdb.com/title/tt0101414/?ref_=fn_al_tt_1,A prince cursed to spend his days as a hideous monster sets out to regain his humanity by earning a young woman's love.,8.0,429K,"['Gary Trousdale', 'Kirk Wise']","['Linda Woolverton', 'Brenda Chapman', 'Chris Sanders']","[""Paige O'Hara"", 'Robby Benson', 'Jesse Corti', 'Rex Everhart', 'Angela Lansbury', 'Jerry Orbach', 'Bradley Pierce', 'David Ogden Stiers', 'Richard White', 'Jo Anne Worley', 'Mary Kay Bergman', 'Brian Cummings', 'Alvin Epstein', 'Tony Jay', 'Alec Murphy', 'Kimmy Robertson', 'Hal Smith', 'Kath Soucie']",G,1991,1h 24min
4,[5],1245,Gridlock'd (1997),"https://m.media-amazon.com/images/M/MV5BNWFlYTY1YWUtOWY1Yy00ODgwLTk0YzQtYTdjMDBlOTcwMGZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX190_CR0,1,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNWFlYTY1YWUtOWY1Yy00ODgwLTk0YzQtYTdjMDBlOTcwMGZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX285_CR0,1,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNWFlYTY1YWUtOWY1Yy00ODgwLTk0YzQtYTdjMDBlOTcwMGZhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX380_CR0,1,380,562_.jpg 380w",http://www.imdb.com/title/tt0119225/?ref_=fn_al_tt_1,"Two friends try to kick their drug addiction after a friend dies from an overdose, when they try to enroll in a detox program, things quickly go wrong.",6.9,15K,['Vondie Curtis-Hall'],['Vondie Curtis-Hall'],"['Tupac Shakur', 'Tim Roth', 'Thandiwe Newton', 'Charles Fleischer', 'Howard Hesseman', 'James Pickens Jr.', 'John Sayles', 'Eric Payne', 'Tom Towles', 'Tom Wright', 'James Shanta', ""Jim O'Malley"", 'George Poulos', 'Debbie Zaricor', 'Mik Scriba', 'Lucy Liu', 'Richmond Arquette', 'Billie Neal']",R,1997,1h 31min
5,[10],1243,Night Flier (1997),"https://m.media-amazon.com/images/M/MV5BMWM0OTY1YWItYTY2ZC00MzVhLTliM2ItNzJiMzIxMDJhMDI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR2,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMWM0OTY1YWItYTY2ZC00MzVhLTliM2ItNzJiMzIxMDJhMDI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY422_CR3,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMWM0OTY1YWItYTY2ZC00MzVhLTliM2ItNzJiMzIxMDJhMDI3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY562_CR4,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0119784/?ref_=fn_al_tt_1,A reporter is on the trail of a vampiric murderer who travels by plane.,6.0,10K,['Mark Pavia'],"['Stephen King', 'Mark Pavia', ""Jack O'Donnell""]","['Miguel Ferrer', 'Julie Entwisle', 'Dan Monahan', 'Michael H. Moss', 'John Bennes', 'Beverly Skinner', 'Rob Wilds', 'Richard K. Olsen', 'Elizabeth McCormick', 'J.R. Rodriguez', 'Robert Leon Casey', 'Ashton Stewart', 'William Neely', 'Windy Wenderlich', 'General Fermon Judd Jr.', 'Korbi Dean', 'Rachel Lewis', 'Kristen Leigh']",R,1997,1h 34min
6,[ 0  1 16],1314,Surviving the Game (1994),"https://m.media-amazon.com/images/M/MV5BMmJiMGI5NzktNzM5Mi00YzI3LWI4NTMtYmU1ZmViMzQ2ZGVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY281_CR1,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BMmJiMGI5NzktNzM5Mi00YzI3LWI4NTMtYmU1ZmViMzQ2ZGVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY422_CR1,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BMmJiMGI5NzktNzM5Mi00YzI3LWI4NTMtYmU1ZmViMzQ2ZGVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UY562_CR1,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0111323/?ref_=fn_al_tt_1,"A homeless man is hired as a survival guide for a group of wealthy businessmen on a hunting trip in the mountains, unaware that they are killers who hunt humans for sport, and that he is their new prey.",6.2,11K,['Ernest R. Dickerson'],['Eric Bernt'],"['Rutger Hauer', 'Ice-T', 'Charles S. Dutton', 'Gary Busey', 'F. Murray Abraham', 'John C. McGinley', 'William McNamara', 'Jeff Corey', 'Bob Minor', 'Lawrence C. McCoy', 'George Fisher', 'Jacqui Dickerson', 'Victor Morris', 'Frederic Collins Jr.', 'Steven King', 'Sheila Scott', 'Steven Lambert', 'Kevin Harris']",R,1994,1h 36min
7,[6 7],847,Looking for Richard (1996),"https://m.media-amazon.com/images/M/MV5BNDliYWJkNzgtZDY4OS00ZTkyLWFjYzQtMjE4MjE0MDcxZDRjXkEyXkFqcGdeQXVyMTAyNjg4NjE0._V1_QL75_UY281_CR1,0,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNDliYWJkNzgtZDY4OS00ZTkyLWFjYzQtMjE4MjE0MDcxZDRjXkEyXkFqcGdeQXVyMTAyNjg4NjE0._V1_QL75_UY422_CR1,0,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNDliYWJkNzgtZDY4OS00ZTkyLWFjYzQtMjE4MjE0MDcxZDRjXkEyXkFqcGdeQXVyMTAyNjg4NjE0._V1_QL75_UY562_CR2,0,380,562_.jpg 380w",http://www.imdb.com/title/tt0116913/?ref_=fn_al_tt_1,"Al Pacino's deeply-felt rumination on Shakespeare's significance and relevance to the modern world through interviews and an in-depth analysis of ""Richard III.""",7.3,8.2K,['Al Pacino'],"['William Shakespeare', 'Al Pacino', 'Frederic Kimball']","['Al Pacino', 'Alec Baldwin', 'Kevin Spacey', 'Frederic Kimball', 'Penelope Allen', 'Gordon MacDonald', 'Madison Arnold', 'Vincent Angell', 'Harris Yulin', 'Timmy Prairie', 'Landon Prairie', 'Kevin Conway', 'Larry Bryggman', 'Estelle Parsons', 'Winona Ryder', 'Phil Parolisi', 'Bruce MacVittie', 'Paul Guilfoyle']",PG-13,1996,1h 51min
8,[6],954,Unzipped (1995),"https://m.media-amazon.com/images/M/MV5BNjU0NzFiNTgtNWNhMS00MWIzLWFiMDMtMDQ1ODZjZDAyN2VhL2ltYWdlXkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_QL75_UX190_CR0,3,190,281_.jpg 190w, https://m.media-amazon.com/images/M/MV5BNjU0NzFiNTgtNWNhMS00MWIzLWFiMDMtMDQ1ODZjZDAyN2VhL2ltYWdlXkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_QL75_UX285_CR0,5,285,422_.jpg 285w, https://m.media-amazon.com/images/M/MV5BNjU0NzFiNTgtNWNhMS00MWIzLWFiMDMtMDQ1ODZjZDAyN2VhL2ltYWdlXkEyXkFqcGdeQXVyMjM5NDQzNTk@._V1_QL75_UX380_CR0,6,380,562_.jpg 380w",http://www.imdb.com/title/tt0114805/?ref_=fn_al_tt_1,One of the most successful designers in high fashion plans his fall 1994 collection. Follow the behind-the-scenes look at the creative side of fashion.,6.5,1.1K,['Douglas Keeve'],"['Isaac Mizrahi', 'Roseanne Barr', 'Sandra Bernhard']","['Isaac Mizrahi', 'Roseanne Barr', 'Sandra Bernhard', 'Robert Best', 'Natane Boudreau', 'Carla Bruni', 'Naomi Campbell', 'Helena Christensen', 'Cindy Crawford', 'Debbie Deitering', 'Meghan Douglas', 'Faye Dunaway', 'Linda Evangelista', 'John Galliano', 'Richard Gere', 'Yasmeen Ghauri', 'Michael Gross', 'Shalom Harlow']",R,1995,1h 13min
9,[ 4 10],123,"Frighteners, The (1996)","https://m.media-amazon.com/images/M/MV5BNDM3NzE1ODktNDY1My00YWJlLWFmNjQtZDE5MGEzZGEwZjRiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX380_CR0,36,380,214_.jpg 380w, https://m.media-amazon.com/images/M/MV5BNDM3NzE1ODktNDY1My00YWJlLWFmNjQtZDE5MGEzZGEwZjRiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX570_CR0,53,570,321_.jpg 570w, https://m.media-amazon.com/images/M/MV5BNDM3NzE1ODktNDY1My00YWJlLWFmNjQtZDE5MGEzZGEwZjRiXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX760_CR0,71,760,428_.jpg 760w",http://www.imdb.com/title/tt6819266/?ref_=fn_al_tt_1,"It looks like we don't have any Plot Summaries for this title yet.
Be the first to contribute! Just click the ""Edit page"" button at the bottom of the page or learn more in the Plot Summary submission guide.",,,,,,,,
