movie_genres,movie_id,movie_title,poster_url,movie_url
[4],1681,You So Crazy (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BOTg5ODM5ODY0OF5BMl5BanBnXkFtZTcwNjA2NDAyMQ@@..jpg,http://www.imdb.com/title/tt0111804/?ref_=fn_al_tt_1
[4 7],1457,Love Is All There Is (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1ODEyMTg3M15BMl5BanBnXkFtZTcwNzgzNzA2NA@@..jpg,http://www.imdb.com/title/tt0116928/?ref_=fn_al_tt_1
[1 3],500,Fly Away Home (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMTA0OTE5MDQ0NTBeQTJeQWpwZ15BbWU4MDI5OTc3NTMx..jpg,http://www.imdb.com/title/tt0116329/?ref_=fn_al_tt_1
[0],838,In the Line of Duty 2 (1987),https://images-na.ssl-images-amazon.com/images/M/MV5BMTY0Njc0ODk4Ml5BMl5BanBnXkFtZTcwMTg5NDUyMQ@@..jpg,http://www.imdb.com/title/tt0091229/?ref_=fn_al_tt_1
[7],1648,"Niagara, Niagara (1997)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTUyMzk3NjQ0OV5BMl5BanBnXkFtZTcwNTk2NTAyMQ@@..jpg,http://www.imdb.com/title/tt0119780/?ref_=fn_al_tt_1
[5],547,"Young Poisoner's Handbook, The (1995)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MTE5OTMzNV5BMl5BanBnXkFtZTcwMDM0MzkzMQ@@..jpg,http://www.imdb.com/title/tt0115033/?ref_=fn_al_tt_1
[7],387,"Age of Innocence, The (1993)",https://images-na.ssl-images-amazon.com/images/M/MV5BMWM4ODc5NTUtZWY0Ny00ZGEyLWFhMTAtMmNjNTY2NTM2ZWZiXkEyXkFqcGdeQXVyMTY2MzYyNzA@..jpg,http://www.imdb.com/title/tt0402289/?ref_=fn_al_tt_1
[7],1495,Flirt (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BMTdiYjAyZWUtNWRkYy00Y2QxLWIxODQtNmU4ZTZkZTgzYzExXkEyXkFqcGdeQXVyNDkzNTM2ODg@..jpg,http://www.imdb.com/title/tt0113080/?ref_=fn_al_tt_1
[7],817,Frisk (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BMTkxMjQzMzMxN15BMl5BanBnXkFtZTcwODc0OTgyMQ@@..jpg,http://www.imdb.com/title/tt0113122/?ref_=fn_al_tt_1
[17],267,unknown,https://images-na.ssl-images-amazon.com/images/M/MV5BODA4NTk3MTQwN15BMl5BanBnXkFtZTcwNjUwMTMxNA@@..jpg,http://www.imdb.com/title/tt1401152/?ref_=fn_al_tt_1
[7],1637,Girls Town (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyMDMxMDcwN15BMl5BanBnXkFtZTcwMDc3MTgxMQ@@..jpg,http://www.imdb.com/title/tt0116418/?ref_=fn_al_tt_1
[7],1396,Stonewall (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMDk3NDU3N15BMl5BanBnXkFtZTcwNzc3OTIyMQ@@..jpg,http://www.imdb.com/title/tt0114550/?ref_=fn_al_tt_1
[ 7 16],852,"Bloody Child, The (1996)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4OTI1MTMwN15BMl5BanBnXkFtZTcwNTQ3MjUzMQ@@..jpg,http://www.imdb.com/title/tt0115715/?ref_=fn_al_tt_1
[ 0 16],685,Executive Decision (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMjZkMDgxYjUtOTUxMi00MWE4LTkxOGEtZGIyZjMwNGJiYjFjL2ltYWdlXkEyXkFqcGdeQXVyNjQzNDI3NzY@..jpg,http://www.imdb.com/title/tt0116253/?ref_=fn_al_tt_1
[0 1 4 5],231,Batman Returns (1992),https://images-na.ssl-images-amazon.com/images/M/MV5BOGZmYzVkMmItM2NiOS00MDI3LWI4ZWQtMTg0YWZkODRkMmViXkEyXkFqcGdeQXVyODY0NzcxNw@@..jpg,http://www.imdb.com/title/tt0103776/?ref_=fn_al_tt_1
[ 4 18],719,Canadian Bacon (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwNDU0NzcwMl5BMl5BanBnXkFtZTcwNzk1NjAzNA@@..jpg,http://www.imdb.com/title/tt0109370/?ref_=fn_al_tt_1
[3 7 8],308,FairyTale: A True Story (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y5NWUwZDgtOWNjNi00NzZlLWIzNWYtM2U2ZjMyM2MzODBkXkEyXkFqcGdeQXVyNzc5MjA3OA@@..jpg,http://www.imdb.com/title/tt0119095/?ref_=fn_al_tt_1
[10],445,"Body Snatcher, The (1945)",https://images-na.ssl-images-amazon.com/images/M/MV5BZjMxMzBkZDMtZWVlYy00YzE1LTliN2ItOTkwMzIyNjNhOTZiXkEyXkFqcGdeQXVyMzI2MDEwNA@@..jpg,http://www.imdb.com/title/tt4810784/?ref_=fn_al_tt_1
[ 4 14],486,Sabrina (1954),https://images-na.ssl-images-amazon.com/images/M/MV5BYmFlNTA1NWItODQxNC00YjFmLWE3ZWYtMzg3YTkwYmMxMjY2XkEyXkFqcGdeQXVyMTMxMTY0OTQ@..jpg,http://www.imdb.com/title/tt0047437/?ref_=fn_al_tt_1
[ 1 15 16],355,Sphere (1998),https://images-na.ssl-images-amazon.com/images/M/MV5BMTYyMTBlM2UtNWE1Ni00ZDg4LTliODQtYTFhZWIwNTAyNTg3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0120184/?ref_=fn_al_tt_1
[7],923,Raise the Red Lantern (1991),https://images-na.ssl-images-amazon.com/images/M/MV5BMjEzNjY5NDcwNV5BMl5BanBnXkFtZTcwNzEwMzg4NA@@..jpg,http://www.imdb.com/title/tt0101640/?ref_=fn_al_tt_1
[1 3],1033,Homeward Bound II: Lost in San Francisco (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BYmU1NzY1YTUtZTM1ZS00NzE0LTg4YzMtYTYxZWM1MzA2MWU0XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0116552/?ref_=fn_al_tt_1
[4 5],248,Grosse Pointe Blank (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BMmRhYTg0N2QtMWZhMS00OWQwLTk1ZmEtMmUyMTY0NTE4YWUwXkEyXkFqcGdeQXVyNzQ1ODk3MTQ@..jpg,http://www.imdb.com/title/tt0119229/?ref_=fn_al_tt_1
[ 0  7 16],244,Smilla's Sense of Snow (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BM2FlOGNmNjItMGYwMC00NjMxLWJiZGUtZTI4MGZmYTllM2JkXkEyXkFqcGdeQXVyNjU0NTI0Nw@@..jpg,http://www.imdb.com/title/tt0120152/?ref_=fn_al_tt_1
[7],1285,Princess Caraboo (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BMTI2MDg5ODgzN15BMl5BanBnXkFtZTcwNzQ1ODEzMQ@@..jpg,http://www.imdb.com/title/tt0110892/?ref_=fn_al_tt_1
[ 4  7 14],512,Wings of Desire (1987),https://images-na.ssl-images-amazon.com/images/M/MV5BOGM1OGVhNTEtYjk3Zi00MzFhLWI4NDQtNWNlYTgyNTIyYjU2XkEyXkFqcGdeQXVyNDkzNTM2ODg@..jpg,http://www.imdb.com/title/tt0093191/?ref_=fn_al_tt_1
[7],1578,"Collectionneuse, La (1967)",https://images-na.ssl-images-amazon.com/images/M/MV5BM2FmMDA5NzEtZTk2OC00NTMzLTllY2ItYjlkMmI1NjgzY2YyXkEyXkFqcGdeQXVyMjQzMzQzODY@..jpg,http://www.imdb.com/title/tt0061495/?ref_=fn_al_tt_1
[4],40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNzgxNTk0OF5BMl5BanBnXkFtZTcwOTAzNjgyMQ@@..jpg,http://www.imdb.com/title/tt0114682/?ref_=fn_al_tt_1
[1 3],1031,Lassie (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BMGMyZjAzZGItY2ZkZi00Y2YwLTk4M2QtNTRmNWEzYjU1NDVlXkEyXkFqcGdeQXVyNjg4NzYzMzA@..jpg,http://www.imdb.com/title/tt0110305/?ref_=fn_al_tt_1
[7],1546,Shadows (Cienie) (1988),https://images-na.ssl-images-amazon.com/images/M/MV5BMGMxZDE4OTItOWZkMi00YTFhLTk4MTEtNmY3MWNhOGJjMTM5XkEyXkFqcGdeQXVyNDUxNjc5NjY@..jpg,http://www.imdb.com/title/tt0095555/?ref_=fn_al_tt_1
