,movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length
0,[7],464,Vanya on 42nd Street (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BOWIzMTEwNGUtN2Y5MS00NTAzLTljZDktMTBkZGZiNGFiZjM1XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0111590/?ref_=fn_al_tt_1,"New York actors rehearse Chekhov's ""Uncle Vanya"" in a dilapidated theatre.",7.4,4.6K,['Louis Malle'],"['Anton Chekhov', 'David Mamet', 'Andre Gregory']","['Wallace Shawn', 'Phoebe Brand', 'George Gaynes', 'Jerry Mayer', 'Lynn Cohen', 'Julianne Moore', 'Larry Pine', 'Brooke Smith', 'Andre Gregory', 'Madhur Jaffrey', 'Ayad Akhtar', 'Oren Moverman']",PG,1994,1h 59min
1,[ 4  7 14],778,Don Juan DeMarco (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BNzRiMGM2ODgtN2Y1Zi00ODk5LThhOTItOWVkODM0YjAyZTI2XkEyXkFqcGdeQXVyNjUwNzk3NDc@..jpg,http://www.imdb.com/title/tt0112883/?ref_=fn_al_tt_1,"A psychiatrist must cure a young patient that presents himself as Don Juan, the greatest lover in the world.",6.7,50K,['Jeremy Leven'],"['Lord Byron', 'Jeremy Leven']","['Johnny Depp', 'Marlon Brando', 'Faye Dunaway', 'Géraldine Pailhas', 'Bob Dishy', 'Rachel Ticotin', 'Talisa Soto', 'Marita Geraghty', 'Richard C. Sarafian', 'Tresa Hughes', 'Stephen Singer', 'Franc Luz', 'Carmen Argenziano', 'Jo Champa', 'Esther Scott', 'Nada Despotovich', 'Gilbert Lewis', 'Tom Lister Jr.']",PG-13,1994,1h 37min
2,[4],41,Billy Madison (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BMzcyMjZmNjctNGNhMS00ZmQxLWFkNzQtYTIxYjVkYmU1NmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0112508/?ref_=fn_al_tt_1,"In order to inherit his fed up father's hotel empire, an immature and lazy man must repeat grades 1-12 all over again.",6.4,137K,['Tamra Davis'],"['Tim Herlihy', 'Adam Sandler']","['Adam Sandler', 'Darren McGavin', 'Bridgette Wilson-Sampras', 'Bradley Whitford', 'Josh Mostel', 'Norm MacDonald', 'Mark Beltzman', 'Larry Hankin', 'Theresa Merritt', 'Dina Platias', 'Hrant Alianak', 'Vincent Marino', 'Jack Mather', 'Christopher Kelk', 'Marc Donato', 'Keith Cole', 'Chris Mei', 'Conor Devitt']",PG-13,1995,1h 29min
3,[4 7],1333,Midnight Dancers (Sibak) (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BMTQxMzMxNzcwN15BMl5BanBnXkFtZTcwNjE3NDYxMQ@@..jpg,http://www.imdb.com/title/tt0111180/?ref_=fn_al_tt_1,"Three young and good-looking brothers live with and support their parents in Manila; they dance at the male Club Exotica and work as ""call boys."" Joel has a wife and child; he and Dennis are saving money to buy back lost family land. Sonny has dropped out of university and sees dancing as a way to make money for now. Joel has a regular boyfriend as well; Sonny spends time with Michelle, a transvestite; Dennis and his pals steal car radios. When their nanay takes in a homeless youth who is not what he appears to be, a chain of events is set in motion that brings tragedy. Is there any salvation in this late-night world of ""macho dancing"" and prostitution?",5.6,282,['Mel Chionglo'],['Ricardo Lee'],"['Alex Del Rosario', 'Gandong Cervantes', 'Lawrence David', 'Luis Cortes', 'Richard Cassity', 'Danny Ramos', 'John Mendoza', 'Leonard Manalansan', 'Perla Bautista', 'Ryan Aristorenas', 'Soxy Topacio', 'Gino Paul Guzman', 'Maureen Mauricio', 'Jeffrey Suarez', 'Ray Ventura', 'Nonie Buencamino', 'RS Francisco', 'Cherry Pie Picache']",Not Rated,1994,1h 40min
4,[4],1322,Metisse (Café au Lait) (1993),https://images-na.ssl-images-amazon.com/images/M/MV5BMTkzMDk4MDMzMl5BMl5BanBnXkFtZTcwMTU4ODgyMQ@@..jpg,http://www.imdb.com/title/tt0107642/?ref_=fn_al_tt_1,"Lola is pregnant. But she does not know who the father is : Jamal, the black muslim, son of diplomats, or Felix, the pennyless jewish messenger. Jamal and Felix meet at Lola's, and the race begins.",6.1,1.1K,['Mathieu Kassovitz'],['Mathieu Kassovitz'],"['Julie Mauduech', 'Hubert Koundé', 'Mathieu Kassovitz', 'Vincent Cassel', 'Tadek Lokcinski', 'Jany Holt', 'Rywka Wajsbrot', 'Héloïse Rauth', 'Marc Berman', 'Andrée Damant', 'Berthe Bagoe', 'Jean-Pierre Cassel', 'Félicité Wouassi', 'Brigitte Bémol', 'Lydia Ewandé', 'Béatrice Zeitoun', 'Camille Japy', 'Jean-Claude Flamand-Barny']",,1993,1h 34min
5,[10 16],860,"Believers, The (1987)",https://images-na.ssl-images-amazon.com/images/M/MV5BOWUyYjcxMmMtNTFjYy00MGMxLWI1N2ItNGZjNGEyYjNiYjI1XkEyXkFqcGdeQXVyMzU0NzkwMDg@..jpg,http://www.imdb.com/title/tt0241357/?ref_=fn_al_tt_1,The story of the Pre-Fab Four and their fight to be taken seriously as musicians.,6.0,768,['Neill Fearnley'],"['Ron McGee', 'Harold Bronson']","['George Stanchev', 'L.B. Fisher', 'Jeff Geddis', 'Aaron Lohr', 'Colin Ferguson', 'Wallace Langham', 'Stephen Bogaert', 'Polly Shannon', 'Jim Thorburn', 'Sarah Lafleur', 'Toby Proctor', 'Balázs Koós', 'Jeffrey R. Smith', 'Joe Matheson', 'Charlotte Leonard', 'Karley Marek', 'Edward Glen', 'Jeff Ironi']",,,
6,[0 7],1231,Marked for Death (1990),https://images-na.ssl-images-amazon.com/images/M/MV5BMzcwNTIzZmEtNzMwMC00OTMyLWFiNTQtZjUxZGYzMDk4MzkwXkEyXkFqcGdeQXVyMDEwMjgxNg@@..jpg,http://www.imdb.com/title/tt0100114/?ref_=fn_al_tt_1,A retired DEA agent is out to hunt down and take out a Jamaican drug posse that has targeted he and his family for murder.,6.0,21K,['Dwight H. Little'],"['Michael Grais', 'Mark Victor']","['Steven Seagal', 'Joanna Pacula', 'Basil Wallace', 'Keith David', 'Tom Wright', 'Elizabeth Gracen', 'Bette Ford', 'Danielle Harris', 'Al Israel', 'Arlen Dean Snyder', 'Victor Romero Evans', 'Michael Ralph', 'Jeffrey Anderson-Gunter', 'Tony DiBenedetto', 'Kevin Dunn', 'Peter Jason', 'Danny Trejo', 'Richard Delmonte']",R,1990,1h 33min
7,[ 7 14],20,Angels and Insects (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BOTgwMTExNjk2M15BMl5BanBnXkFtZTcwNzQxNTEzMQ@@..jpg,http://www.imdb.com/title/tt0112365/?ref_=fn_al_tt_1,In the 1800s a naturalist marries into a family of British country gentry.,6.8,4.6K,['Philip Haas'],"['A.S. Byatt', 'Belinda Haas', 'Philip Haas']","['Mark Rylance', 'Kristin Scott Thomas', 'Patsy Kensit', 'Jeremy Kemp', 'Douglas Henshall', 'Annette Badland', 'Chris Larkin', 'Anna Massey', 'Saskia Wickham', 'Lindsay Thomas', 'Michelle Sylvester', 'Clare Lovell', 'Jenny Lovell', 'Oona Haas', 'Angus Hodder', 'Margaret Golder', 'Paul Ready', 'Naomi Gudge']",R,1995,1h 56min
8,[19],661,High Noon (1952),https://images-na.ssl-images-amazon.com/images/M/MV5BOWIzZGUxZmItOThkMS00Y2QxLTg0MTYtMDdhMjRlNTNlYTI3L2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@..jpg,http://www.imdb.com/title/tt0044706/?ref_=fn_al_tt_1,"A town Marshal, despite the disagreements of his newlywed bride and the townspeople around him, must face a gang of deadly killers alone at high noon when the gang leader, an outlaw he sent up years ago, arrives on the noon train.",8.0,101K,['Fred Zinnemann'],"['Carl Foreman', 'John W. Cunningham']","['Gary Cooper', 'Grace Kelly', 'Thomas Mitchell', 'Lloyd Bridges', 'Katy Jurado', 'Otto Kruger', 'Lon Chaney Jr.', 'Harry Morgan', 'Ian MacDonald', 'Eve McVeagh', 'Morgan Farley', 'Harry Shannon', 'Lee Van Cleef', 'Robert J. Wilke', 'Sheb Wooley', 'Lee Aaker', 'Ernest Baldwin', 'Benjie Bancroft']",PG,1952,1h 25min
9,[4 7],1186,"Inkwell, The (1994)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTIzNjkyMzYwNV5BMl5BanBnXkFtZTcwMzEwNTYxMQ@@..jpg,http://www.imdb.com/title/tt0110137/?ref_=fn_al_tt_1,"A shy, troubled young man who set his own house on fire and has an imaginary friend, is sent to a vineyard where he finds himself in the middle of his political-arguing, party-loving family and his love torn between two girls.",6.4,1.4K,['Matty Rich'],"['Trey Ellis', 'Paris Qualles']","['Larenz Tate', 'Joe Morton', 'Suzzanne Douglas', 'Glynn Turman', 'Vanessa Bell Calloway', 'A.J. Johnson', 'Morris Chestnut', 'Jada Pinkett Smith', 'Duane Martin', 'Mary Alice', 'Phyllis Yvonne Stickney', 'Markus Redmond', 'Perry Moore', 'Akia Victor', 'Aaron Griffin', 'Reggie McFadden', 'Greg Leevy', 'Stacie Davis']",R,1994,1h 50min
