movie_genres,movie_id,movie_title,poster_url,movie_url,description,rating,num_review,director,writer,cast,age_rating,year,movie_length,genre
"[1, 18]",511,Lawrence of Arabia (1962),https://images-na.ssl-images-amazon.com/images/M/MV5BYWY5ZjhjNGYtZmI2Ny00ODM0LWFkNzgtZmI1YzA2N2MxMzA0XkEyXkFqcGdeQXVyNjUwNzk3NDc@..jpg,http://www.imdb.com/title/tt0056172/?ref_=fn_al_tt_1,"The story of T.E. Lawrence, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks.",8.3,280K,['David Lean'],"['T.E. Lawrence', 'Robert Bolt', 'Michael Wilson']","[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins', 'Omar Sharif', 'José Ferrer', 'Anthony Quayle', 'Claude Rains', 'Arthur Kennedy', 'Donald Wolfit', 'I.S. Johar', 'Gamil Ratib', 'Michel Ray', 'John Dimech', 'Zia Mohyeddin', 'Howard Marion-Crawford', 'Jack Gwillim', 'Hugh Miller']",Approved,1962.0,3h 48min,[]
"[7, 14]",197,"Graduate, The (1967)",https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ0ODc4MDk4Nl5BMl5BanBnXkFtZTcwMTEzNzgzNA@@..jpg,http://www.imdb.com/title/tt0061722/?ref_=fn_al_tt_1,A disillusioned college graduate finds himself torn between his older lover and her daughter.,8.0,264K,['Mike Nichols'],"['Calder Willingham', 'Buck Henry', 'Charles Webb']","['Dustin Hoffman', 'Anne Bancroft', 'Katharine Ross', 'William Daniels', 'Murray Hamilton', 'Elizabeth Wilson', 'Buck Henry', 'Brian Avery', 'Walter Brooke', 'Norman Fell', 'Alice Ghostley', 'Marion Lorne', 'Eddra Gale', 'Frank Baker', 'George Bruggeman', 'Buddy Douglas', 'Richard Dreyfuss', 'Bob Eubanks']",PG,1967.0,1h 46min,[]
"[2, 3, 12, 14]",542,Pocahontas (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BMzc4YzhiN2ItY2Y4NC00YTA0LWEyMjEtNzllNTcxZDdjODhiXkEyXkFqcGdeQXVyNTUyMzE4Mzg@..jpg,http://www.imdb.com/title/tt0114148/?ref_=fn_al_tt_1,An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,6.7,178K,"['Mike Gabriel', 'Eric Goldberg']","['Carl Binder', 'Susannah Grant', 'Philip LaZebnik']","['Mel Gibson', 'Linda Hunt', 'Christian Bale', 'Joe Baker', 'Irene Bedard', 'Billy Connolly', 'James Apaumut Fall', 'John Kassir', 'Judy Kuhn', 'Danny Mann', 'Russell Means', 'David Ogden Stiers', 'Michelle St. John', 'Gordon Tootoosis', 'Frank Welker', 'Jim Cummings']",G,1995.0,1h 21min,[]
"[0, 1, 4, 18]",110,Operation Dumbo Drop (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BNTU2NzQyNDQ0NV5BMl5BanBnXkFtZTcwNTk4NjIyMQ@@..jpg,http://www.imdb.com/title/tt0114048/?ref_=fn_al_tt_1,"To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.",5.1,8.8K,['Simon Wincer'],"['James Morris', 'Gene Quintano', 'Jim Kouf']","['Danny Glover', 'Ray Liotta', 'Denis Leary', 'Doug E. Doug', 'Corin Nemec', 'Dinh Thien Le', 'Tchéky Karyo', 'Hoang Ly', 'Vo Trung Anh', 'Marshall Bell', 'James Hong', 'Long Nguyen', 'Tim Kelleher', 'Scott N. Stevens', 'Kevin LaRosa', 'Christopher Ward', 'Robert Kevin Miller', 'Ming-Yang Li']",PG,1995.0,1h 47min,[]
[16],1399,Stranger in the House (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1MTg1NDE1OF5BMl5BanBnXkFtZTcwNzA2OTQxMQ@@..jpg,http://www.imdb.com/title/tt0120222/?ref_=fn_al_tt_1,"A botched diamond burglary and a dead publishing company executive set off a string of murders and betrayal in this suspensful, nonstop thriller!",5.4,231,['Rodney Gibbons'],"['William Hoy', 'Peter Liapis', 'Steve Pesce']","['Michele Greene', 'Bruce Dinsmore', 'Steve Railsback', 'Kathleen Kinmont', 'Vlasta Vrana', 'Wendii Fulford', 'Una Kay', 'Larry Day', 'Tania Kontoyanni', 'Tyrone Benskin', 'Chelsea McIsaac', 'Maral Hassib', 'Bob Homme']",R,1997.0,1h 34min,[]
[7],52,"Madness of King George, The (1994)",https://images-na.ssl-images-amazon.com/images/M/MV5BMjExMzk0ODQyNV5BMl5BanBnXkFtZTcwODk0ODE1NA@@..jpg,http://www.imdb.com/title/tt0110428/?ref_=fn_al_tt_1,"When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.",7.2,16K,['Nicholas Hytner'],['Alan Bennett'],"['Nigel Hawthorne', 'Helen Mirren', 'Rupert Graves', 'Amanda Donohoe', 'Charlotte Curley', 'Peter Bride-Kirk', 'Eve Camden', 'Thomas Copeland', 'Joanna Hall', 'Cassandra Halliburton', 'Russell Martin', 'Natalie Palys', 'Rupert Everett', 'Julian Rhind-Tutt', 'David Leon', 'Martin Julier', 'Anthony Calf', 'Matthew Lloyd Davies']",PG-13,1994.0,1h 50min,[]
[0],363,Sudden Death (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BN2NjYWE5NjMtODlmZC00MjJhLWFkZTktYTJlZTI4YjVkMGNmXkEyXkFqcGdeQXVyNDc2NjEyMw@@..jpg,http://www.imdb.com/title/tt0114576/?ref_=fn_al_tt_1,A former fireman takes on a group of terrorists holding the Vice President and others hostage during the seventh game of the NHL Stanley Cup finals.,5.8,34K,['Peter Hyams'],"['Karen Elise Baldwin', 'Gene Quintano']","['Jean-Claude Van Damme', 'Powers Boothe', 'Raymond J. Barry', 'Whittni Wright', 'Ross Malinger', 'Dorian Harewood', 'Kate McNeil', 'Michael Gaston', 'Audra Lindley', 'Brian Delate', 'Steve Aronson', 'Michael R. Aubele', 'Karen Elise Baldwin', 'Jennifer D. Bowser', 'Pat Brisson', 'Glenda Morgan Brown', 'Jophery C. Brown', 'William Cameron']",R,1995.0,1h 51min,[]
"[1, 3]",828,Alaska (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BYmZkZDM5OTAtZTM5My00NDM4LTk3YzgtZTg3YzFiYmYzZDczXkEyXkFqcGdeQXVyNjgzMjI4ODE@..jpg,http://www.imdb.com/title/tt0115493/?ref_=fn_al_tt_1,"While searching for their missing father in the mountains of Alaska, two siblings come across a baby polar bear on the run from a pair of poachers.",5.8,5.4K,['Fraser C. Heston'],"['Andy Burg', 'Scott Myers']","['Thora Birch', 'Vincent Kartheiser', 'Dirk Benedict', 'Charlton Heston', 'Duncan Fraser', 'Gordon Tootoosis', 'Ben Cardinal', 'Ryan Kent', 'Don S. Davis', 'Dolly Madsen', 'Stephen E. Miller', 'Byron Chief-Moon', 'Kristin Lehman', 'Adrien Dorval', 'Ed Gale', 'Mark McCracken', 'Agee']",PG,1996.0,1h 49min,[]
[19],570,Wyatt Earp (1994),https://images-na.ssl-images-amazon.com/images/M/MV5BZjU1ZWIxZTgtMzcxMS00NTA4LTliNDMtMzY1MjA2N2EzMzQ1XkEyXkFqcGdeQXVyNTUyMzE4Mzg@..jpg,http://www.imdb.com/title/tt0111756/?ref_=fn_al_tt_1,"From Wichita to Dodge City to the O.K. Corral in Tombstone, a man becomes a myth in this thrilling journey of romance, adventure and desperate, heroic action.",6.7,48K,['Lawrence Kasdan'],"['Dan Gordon', 'Lawrence Kasdan']","['Kevin Costner', 'Dennis Quaid', 'Gene Hackman', 'David Andrews', 'Linden Ashby', 'Jeff Fahey', 'Joanna Going', 'Mark Harmon', 'Michael Madsen', ""Catherine O'Hara"", 'Bill Pullman', 'Isabella Rossellini', 'Tom Sizemore', 'JoBeth Williams', 'Mare Winningham', 'James Gammon', 'Rex Linn', 'Randle Mell']",PG-13,1994.0,3h 11min,[]
[6],811,Thirty-Two Short Films About Glenn Gould (1993),https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4MTA3NjI0N15BMl5BanBnXkFtZTcwMzUxOTAwMQ@@..jpg,http://www.imdb.com/title/tt0108328/?ref_=fn_al_tt_1,"A collection of vignettes highlighting different aspects of the life, work, and character of the acclaimed Canadian classical pianist.",7.4,3.7K,['François Girard'],"['François Girard', 'Don McKellar', 'Glenn Gould']","['Colm Feore', 'Derek Keurvorst', 'Katya Ladan', 'Devon Anderson', 'Joshua Greenblatt', 'Sean Vertigo', 'Kate Hennig', 'Sean Doyle', 'Sharon Bernbaum', 'Don McKellar', 'David Hughes', 'Carlo Rota', 'Peter Millard', 'John Dolan', 'Allegra Fulton', 'Dick Callahan', 'Guy Thauvette', 'R.D. Reid']",Not Rated,1993.0,1h 38min,[]
[4],1301,Stripes (1981),https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ3NzU2NjYyNF5BMl5BanBnXkFtZTgwMjg1MzQxMDE@..jpg,http://www.imdb.com/title/tt0083131/?ref_=fn_al_tt_1,Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.,6.9,69K,['Ivan Reitman'],"['Len Blum', 'Daniel Goldberg', 'Harold Ramis']","['Bill Murray', 'John Candy', 'Harold Ramis', 'Warren Oates', 'P.J. Soles', 'Sean Young', 'John Larroquette', 'John Voldstad', 'John Diehl', 'Lance LeGault', 'Roberta Leighton', 'Conrad Dunn', 'Judge Reinhold', 'Antone Pagán', 'Glenn-Michael Jones', 'William Lucking', 'Fran Ryan', 'Joe Flaherty']",R,1981.0,1h 46min,[]
"[0, 1]",890,Mortal Kombat: Annihilation (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BYjdmZTU3MWMtZTU4ZC00NjYzLTk1NzAtODc2ZDY0ZWNhYWEzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0119707/?ref_=fn_al_tt_1,A group of martial arts warriors have only six days to save the Earth from an extra-dimensional invasion.,3.7,53K,['John R. Leonetti'],"['Ed Boon', 'Lawrence Kasanoff', 'Joshua Wexler']","['Robin Shou', 'Talisa Soto', 'James Remar', 'Sandra Hess', ""Lynn 'Red' Williams"", 'Brian Thompson', 'Reiner Schöne', 'Musetta Vander', 'Irina Pantaeva', 'Deron McBee', 'Marjean Holden', 'Litefoot', 'Chris Conrad', 'John Medlen', 'J.J. Perry', 'Tyrone C. Wiggins', 'Dennis Keiffer', 'Ridley Tsui']",PG-13,1997.0,1h 35min,[]
[7],1635,Two Friends (1986) ,https://images-na.ssl-images-amazon.com/images/M/MV5BMTIxNzgxMzYzNl5BMl5BanBnXkFtZTcwNDU1NDEzMQ@@..jpg,http://www.imdb.com/title/tt0092123/?ref_=fn_al_tt_1,"The evolving relationship of two teenage girls in Sydney backwards through time, from estrangement to the height of their friendship a year earlier.",6.5,305,['Jane Campion'],['Helen Garner'],"['Kris Bidenko', 'Emma Coles', 'Kris McQuade', 'Peter Hehir', 'Kerry Dwyer', 'Stephen Leeder', 'Debra May', 'John Sheerin', 'Sean Travers', 'Emily Stocker', 'Lynne Murphy', 'Giovanni Marangoni', 'Benny Ulizzi', 'Rory Delaney', 'Lisa Rogers', 'Amanda Frederickson', 'Martin Armiger', 'Jim Madias']",,,,[]
[7],837,Meet John Doe (1941),https://images-na.ssl-images-amazon.com/images/M/MV5BYTc4NTdlMDItNDFhZC00NDZjLTgwMTItOTIzZTJlYTU3MDg2L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI2NDg0NQ@@..jpg,http://www.imdb.com/title/tt0033891/?ref_=fn_al_tt_1,"A penniless drifter is recruited by an ambitious columnist to impersonate a non-existent person who said he'd be committing suicide as a protest, and a political movement begins.",7.6,13K,['Frank Capra'],"['Richard Connell', 'Robert Presnell Sr.', 'Robert Riskin']","['Gary Cooper', 'Barbara Stanwyck', 'Edward Arnold', 'Walter Brennan', 'Spring Byington', 'James Gleason', 'Gene Lockhart', 'Rod La Rocque', 'Irving Bacon', 'Regis Toomey', 'J. Farrell MacDonald', 'Warren Hymer', 'Harry Holman', 'Andrew Tombes', 'Pierre Watkin', 'Stanley Andrews', 'Mitchell Lewis', 'Charles C. Wilson']",Passed,1941.0,2h 2min,[]
[7],1577,"Death in the Garden (Mort en ce jardin, La) (1956)",https://images-na.ssl-images-amazon.com/images/M/MV5BYThjYzBhMGItNmI4MS00NjE5LWEyOWMtZWU3Y2FjNDEzNjc0XkEyXkFqcGdeQXVyMjA0MzYwMDY@..jpg,http://www.imdb.com/title/tt0049521/?ref_=fn_al_tt_1,"Adventurer Shark comes to a small village near a diamond-miners' camp, and local police arrest him, accusing him of having committed a bank robbery in a neighboring town. The police also confiscate the diamond mine for the state, which incites the miners to revolt, but they're defeated. Shark, Father Lizzardi, Castin, his daughter, and Djin, a whore Castin loves, flee into the jungle and fight for their lives.",6.8,2.3K,['Luis Buñuel'],"['Luis Alcoriza', 'Luis Buñuel', 'Raymond Queneau']","['Simone Signoret', 'Georges Marchal', 'Charles Vanel', 'Michel Piccoli', 'Tito Junco', 'Raúl Ramírez', 'Luis Aceves Castañeda', 'Jorge Martínez de Hoyos', 'Alberto Pedret', 'Marc Lambert', 'Stefani', 'Michèle Girardon', 'José Chávez', 'Federico Curiel', 'Alicia del Lago', 'Manuel Dondé', 'Enedina Díaz de León', 'Agustín Fernández']",Not Rated,1956.0,1h 44min,[]
"[5, 16]",156,Reservoir Dogs (1992),https://images-na.ssl-images-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0105236/?ref_=fn_al_tt_1,"When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.",8.3,961K,['Quentin Tarantino'],"['Quentin Tarantino', 'Roger Avary']","['Harvey Keitel', 'Tim Roth', 'Michael Madsen', 'Chris Penn', 'Steve Buscemi', 'Lawrence Tierney', 'Randy Brooks', 'Kirk Baltz', 'Edward Bunker', 'Quentin Tarantino', 'Rich Turner', 'David Steen', 'Tony Cosmo', 'Stevo Polyi', 'Michael Sottile', 'Robert Ruth', 'Lawrence Bender', 'Linda Kaye']",R,1992.0,1h 39min,[]
[4],1537,Cosi (1996),https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzMjY0MzQ5NF5BMl5BanBnXkFtZTcwNzQ1MjAyMQ@@..jpg,http://www.imdb.com/title/tt0115951/?ref_=fn_al_tt_1,Lewis is a young Sydney amateur theater director at his first experience: he is offered a job with a Governmental program for the rehabilitation of mentally ill patients in a Sydney institution for mentally ill. His project is overrun by one of the patients Roy who wants to put on stage Cosi Fan Tutte (Mozart). None of the patients in the cast is able to sing and none of them knows Italian which is the language of the libretto. Through a lot of difficulties Lewis and his cast develop a deep understanding. The play smartly adapted for the unusual cast is finally produced: lots of unforeseen situations solved 'a la crazy way'but indeed brilliantly. Great success and sad farewell of the director from his cast.,6.7,1.9K,['Mark Joffe'],['Louis Nowra'],"['Ben Mendelsohn', 'Barry Otto', 'Toni Collette', 'Rachel Griffiths', 'Aden Young', 'Colin Friels', 'Jacki Weaver', 'Pamela Rabe', 'Paul Chubb', 'Colin Hay', 'David Wenham', 'Tony Llewellyn-Jones', 'Kerry Walker', 'Robin Ramsay', 'Henry Maas', 'Jack Walsh', 'Lawrence Woodward', 'Brian Ellison']",R,1996.0,1h 40min,[]
"[4, 15]",204,Back to the Future (1985),https://images-na.ssl-images-amazon.com/images/M/MV5BZmU0M2Y1OGUtZjIxNi00ZjBkLTg1MjgtOWIyNThiZWIwYjRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg,http://www.imdb.com/title/tt0088763/?ref_=fn_al_tt_1,"Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.",8.5,1.1M,['Robert Zemeckis'],"['Robert Zemeckis', 'Bob Gale']","['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover', 'Thomas F. Wilson', 'Claudia Wells', 'Marc McClure', 'Wendie Jo Sperber', 'George DiCenzo', 'Frances Lee McCain', 'James Tolkan', 'J.J. Cohen', 'Casey Siemaszko', 'Billy Zane', 'Harry Waters Jr.', 'Donald Fullilove', 'Lisa Freeman', 'Cristen Kauffman']",PG,1985.0,1h 56min,[]
"[0, 1, 16]",2,GoldenEye (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@..jpg,http://www.imdb.com/title/tt0113189/?ref_=fn_al_tt_1,"Years after a friend and fellow 00 agent is killed on a joint mission, a secret space based weapons program known as ""GoldenEye"" is stolen. James Bond sets out to stop a Russian crime syndicate from using the weapon.",7.2,247K,['Martin Campbell'],"['Ian Fleming', 'Michael France', 'Jeffrey Caine']","['Pierce Brosnan', 'Sean Bean', 'Izabella Scorupco', 'Famke Janssen', 'Joe Don Baker', 'Judi Dench', 'Robbie Coltrane', 'Tchéky Karyo', 'Gottfried John', 'Alan Cumming', 'Desmond Llewelyn', 'Samantha Bond', 'Michael Kitchen', 'Serena Gordon', 'Simon Kunz', 'Pavel Douglas', 'Olivier Lajous', 'Billy J. Mitchell']",PG-13,1995.0,2h 10min,[]
[4],997,Stuart Saves His Family (1995),https://images-na.ssl-images-amazon.com/images/M/MV5BMTMwODE1MDkxOF5BMl5BanBnXkFtZTcwNTEyNzIyMQ@@..jpg,http://www.imdb.com/title/tt0114571/?ref_=fn_al_tt_1,A self-help advocate struggles to put his dysfunctional family in its place.,5.2,2.8K,['Harold Ramis'],['Al Franken'],"['Al Franken', 'Laura San Giacomo', ""Vincent D'Onofrio"", 'Shirley Knight', 'Harris Yulin', 'Lesley Boone', 'John Graney', 'Marjorie Lovett', 'Walter Robles', 'Erik Cord', 'Denver Mattson', 'Grant Hoover', 'Cory Milano', 'Michelle Horn', 'Harris Laskawy', 'Tom Dugan', 'Camille Saviola', 'Bess Meyer']",PG-13,1995.0,1h 35min,[]
"[4, 7]",1012,Private Parts (1997),https://images-na.ssl-images-amazon.com/images/M/MV5BM2RkYWQ1OWMtZDlmNy00OWJkLTg3ZTYtNGQ3YzIyYTMwNDE0XkEyXkFqcGdeQXVyNDk3NzU2MTQ@..jpg,http://www.imdb.com/title/tt0119951/?ref_=fn_al_tt_1,"The autobiographical story of Howard Stern, the radio rebel who is now also a TV personality, an author and a movie star.",6.9,36K,['Betty Thomas'],"['Howard Stern', 'Len Blum', 'Michael Kalesniko']","['Howard Stern', 'Mary McCormack', 'Robin Quivers', 'Fred Norris', 'Paul Giamatti', ""Gary Dell'Abate"", 'Jackie Martling', 'Carol Alt', 'Richard Portnow', 'Kelly Bishop', 'Henry Goodman', 'Jonathan Hadary', 'Paul Hecht', 'Allison Janney', 'Michael Murphy', 'James Murtaugh', 'Reni Santoni', 'Lee Wilkof']",R,1997.0,1h 49min,[]
"[10, 14, 16]",185,Psycho (1960),https://images-na.ssl-images-amazon.com/images/M/MV5BMzJmNjEzZDYtNGViZC00MTBiLTllZjYtOTY1YjBjZmMyODg0XkEyXkFqcGdeQXVyNjU0OTQ0OTY@..jpg,http://www.imdb.com/title/tt0054215/?ref_=fn_al_tt_1,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",8.5,633K,['Alfred Hitchcock'],"['Joseph Stefano', 'Robert Bloch']","['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin', 'Martin Balsam', 'John McIntire', 'Simon Oakland', 'Frank Albertson', 'Patricia Hitchcock', 'Vaughn Taylor', 'Lurene Tuttle', 'John Anderson', 'Mort Mills', 'Fletcher Allen', 'Walter Bacon', 'Prudence Beers', 'Kit Carson', 'Francis De Sales']",R,1960.0,1h 49min,[]
